department,pass_percent,attendance
CSE,75,78
CE,88,94
CSE,82,83
CE,58,76
CE,50,91
ME,50,89
CSE,40,71
CE,53,95
ECE,84,54
CE,63,80
CE,60,86
CE,63,79
ECE,48,58
ME,80,79
ECE,87,82
ECE,50,86
ME,84,51
CSE,58,82
CE,54,89
CE,67,61
ME,62,65
CSE,64,63
ECE,66,73
ME,63,68
CE,80,72
ECE,51,57
CSE,56,92
CE,89,55
ECE,62,74
ECE,81,58
ECE,84,88
CSE,56,62
ME,56,63
CE,49,91
ECE,68,65
ME,55,93
ME,55,62
CE,42,67
CSE,60,81
CSE,68,56
CE,68,84
ME,59,63
CSE,45,94
ME,45,88
ECE,63,82
CSE,79,89
ME,54,51
ME,47,81
ME,44,59
ME,69,68
CE,56,90
ECE,42,76
CSE,51,51
ME,48,82
ECE,50,77
CSE,81,82
CE,57,54
CSE,54,86
ECE,71,91
ME,79,53
CE,78,79
ECE,51,85
CSE,68,85
ME,66,89
ME,65,77
CSE,68,91
ECE,84,68
ME,89,76
ME,74,94
CSE,66,75
ECE,72,57
CSE,72,67
CE,78,72
CE,57,76
CSE,87,60
CSE,69,53
CSE,64,67
CSE,86,94
CSE,60,60
CE,50,88
ECE,75,76
ME,83,80
CSE,86,50
ME,46,84
CSE,53,51
ME,85,51
CE,83,76
CE,71,86
CSE,64,58
ECE,49,90
ECE,79,63
CSE,82,59
CSE,53,71
ME,53,92
CSE,68,67
ECE,87,64
CE,73,76
ECE,47,75
ME,48,78
CE,57,62
CE,78,89
CE,68,73
ECE,72,65
CE,86,55
CE,57,93
ME,76,77
CSE,73,78
ECE,59,58
ME,73,55
CE,65,64
CSE,75,61
ME,73,85
ECE,83,91
ME,64,70
ECE,72,66
ECE,80,84
ME,61,53
CE,71,73
CE,71,62
CE,53,77
CE,88,92
CE,84,57
ECE,46,60
CE,89,55
ME,40,82
CSE,87,94
CE,61,53
CE,65,63
ME,66,76
CE,51,63
CSE,89,95
CSE,49,58
CE,88,81
ME,83,71
ECE,69,51
CSE,43,66
ME,88,90
ECE,73,90
CE,44,54
ECE,48,73
ME,70,79
CSE,56,87
CE,62,61
ECE,60,58
ME,55,76
CE,63,76
CE,58,73
ECE,68,51
CE,71,83
CE,52,53
CSE,44,70
CE,57,87
CSE,44,82
CE,51,76
ECE,79,61
CSE,43,87
CE,52,69
ECE,54,58
ME,60,66
ME,55,57
CE,48,88
CSE,67,74
ME,53,89
ME,43,53
ME,72,90
ME,78,95
ME,44,89
CE,47,61
ECE,47,75
CSE,49,66
ECE,59,73
ME,54,56
ME,46,85
CE,49,67
ME,80,90
CSE,85,80
ME,75,64
CE,71,60
CSE,61,59
ECE,75,57
CE,85,59
CSE,71,84
ME,56,65
CSE,44,70
ECE,64,93
ECE,51,70
CSE,61,68
CE,52,70
ECE,66,88
ECE,52,90
CSE,70,55
ME,71,74
ECE,62,75
ECE,63,81
ME,45,63
ECE,63,72
ECE,81,81
ECE,68,85
CE,69,54
CSE,47,80
